id	area	scope	reference	status	issue	code_evidence	data_evidence	client_evidence	acceptance	gaps
spline	Movement and maps	Creature/player splines, knockback, charges, jumps, and forced movement	c699217775d90794158422387b07a917e161b582:src/server/game/Movement	unassessed	-	-	-	-	Compare paths and flags and verify completion/interrupt transitions in the client	Full scope has not been inventoried or proven against the reference.
transports	Movement and maps	Moving transports, boarding, passengers, and cross-map travel	c699217775d90794158422387b07a917e161b582:src/server/game/Movement	unassessed	-	-	-	-	Board, move, disembark, and change maps with consistent passenger offsets	Full scope has not been inventoried or proven against the reference.
maps-collision	Movement and maps	Map/grid streaming, collision, height, water, and pathfinding	c699217775d90794158422387b07a917e161b582:src/server/game/Movement	unassessed	-	-	-	-	Validate artifact formats and representative ground/water/LOS/path queries per supported map	Full scope has not been inventoried or proven against the reference.
world-visibility	Movement and maps	Distance, invisibility, stealth, object lifetime, and update routing	c699217775d90794158422387b07a917e161b582:src/server/game/Movement	unassessed	#54	-	-	-	Compare visibility predicates and create/update/destroy delivery under state changes	Full scope has not been inventoried or proven against the reference.
phase-membership	Phasing	Phase IDs/groups, server visibility, conditions, and login restoration	c699217775d90794158422387b07a917e161b582:src/server/game	partial	#25,#27,#54	#25,#27	-	#25,#27	Enter/leave non-default phases and verify visible objects and interaction eligibility	Closed issues prove only their bounded scenarios; remaining scope needs independent evidence.
phase-terrain	Phasing	Visible/preloaded terrain maps and UI-map phase changes	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Verify phase packet lists and matching terrain/overlay changes with pinned map artifacts	Full scope has not been inventoried or proven against the reference.
phase-quests	Phasing	Quest/area/aura-driven phase transitions and questgiver continuity	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	#56	-	-	-	Complete, abandon, and reload phase-changing quests without losing required NPCs or objectives	Full scope has not been inventoried or proven against the reference.
inventory	Inventory	Move, split, equip, swap, destroy, ownership, errors, and persistence	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Item	partial	#37	#37	-	#37	Run valid/invalid inventory operations; preserve exact items and counts through saves	Closed issues prove only their bounded scenarios; remaining scope needs independent evidence.
item-use	Inventory	Consumables, equipped item spells, charges, cooldowns, and durability	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Item	unassessed	-	-	-	-	Use actual items; verify spell/effect, consumption, charges, errors, and persisted state	Full scope has not been inventoried or proven against the reference.
item-properties	Inventory	Random properties/suffixes, enchantments, sockets, and set bonuses	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Item	partial	#37	#37	-	#37	Compare all property slots, effects, serialization, and legacy migration round trips	Closed issues prove only their bounded scenarios; remaining scope needs independent evidence.
bank	Inventory	Bank/bag purchase, storage, access, and persistence	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Item	unassessed	-	-	-	-	Enforce access/cost/capacity and restore bank contents without duplication	Full scope has not been inventoried or proven against the reference.
customization	Inventory	Reforging, transmogrification, costs, eligibility, and persistence	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Item	unassessed	-	-	-	-	Apply/remove transformations with correct stats/visuals and reject invalid combinations	Full scope has not been inventoried or proven against the reference.
currencies	Inventory	Currency storage, caps, rewards, costs, and weekly resets	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Item	unassessed	-	-	-	-	Apply bounded changes and reset rules; compare UI values and persisted balances	Full scope has not been inventoried or proven against the reference.
cast-protocol	Spells	Cast requests, targets, start/go/failure/cancel/channel packets, and queue replay	c699217775d90794158422387b07a917e161b582:src/server/game/Spells	unassessed	#55	-	-	-	Cast self/unit/destination spells; cover cancellation, invalid targets, and conditional payloads	Full scope has not been inventoried or proven against the reference.
spellbook-cooldowns	Spells	Learning, unlearning, spellbook/action state, GCD, and cooldowns	c699217775d90794158422387b07a917e161b582:src/server/game/Spells	unassessed	#55	-	-	-	Learn/use/forget and relog with correct availability and persisted cooldowns	Full scope has not been inventoried or proven against the reference.
auras	Spells	Apply/update/remove, stacks, duration, periodic ticks, and dispels	c699217775d90794158422387b07a917e161b582:src/server/game/Spells	partial	#43,#37,#55	#43,#37	-	#43,#37	Verify client and server aura state through expiration, dispel, relog, and stacking	Closed issues prove only their bounded scenarios; remaining scope needs independent evidence.
spell-effects	Spells	Effect handlers, target selection, power/reagent costs, and immunities	c699217775d90794158422387b07a917e161b582:src/server/game/Spells	unassessed	-	-	-	-	Inventory every effect/target type and compare representative success/rejection state transitions	Full scope has not been inventoried or proven against the reference.
procs	Spells	Proc eligibility, chance, charges, internal cooldowns, and triggered chains	c699217775d90794158422387b07a917e161b582:src/server/game/Spells	unassessed	-	-	-	-	Compare deterministic eligibility/charge cases and bounded runtime triggers	Full scope has not been inventoried or proven against the reference.
spell-scaling	Spells	Cata spell data, coefficients, rank/scaling rules, and class mechanics	c699217775d90794158422387b07a917e161b582:src/server/game/Spells	unassessed	-	-	-	-	Compare joined spell records and computed results across levels/classes; document deviations	Full scope has not been inventoried or proven against the reference.
melee-ranged	Combat	Autoattacks, ranged attacks, hit results, combat log, and combat state	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Unit	unassessed	-	-	-	-	Attack/stop with correct server outcomes and client logs; cover misses and invalid targets	Full scope has not been inventoried or proven against the reference.
damage-healing	Combat	Damage/healing, armor, resistance, absorbs, crits, and resource changes	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Unit	unassessed	-	-	-	-	Compare formulas and deterministic inputs plus representative player/creature outcomes	Full scope has not been inventoried or proven against the reference.
threat	Combat	Threat, aggro, target changes, taunts, and combat exit	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Unit	unassessed	-	-	-	-	Exercise acquisition, transfer, reset, and evade without stale combat state	Full scope has not been inventoried or proven against the reference.
death-resurrection	Combat	Death, release, ghost, corpse, reclaim, graveyards, and resurrection	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Unit	unassessed	-	-	-	-	Die, release, travel/reclaim or resurrect, and restore state across logout	Full scope has not been inventoried or proven against the reference.
loot	Combat	Loot eligibility, contents, currencies, money, take/release, and duplicate prevention	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Unit	unassessed	-	-	-	-	Open/take/reopen a source; verify one award, capacity failures, ownership, and persistence	Full scope has not been inventoried or proven against the reference.
quest-discovery	Quests	Questgiver status, gossip, query/details, prerequisites, and eligibility	c699217775d90794158422387b07a917e161b582:src/server/game/Quests	unassessed	#56	-	-	-	Show the correct available/in-progress/completed quests and reject ineligible acceptance	Full scope has not been inventoried or proven against the reference.
quest-lifecycle	Quests	Accept, quest log, abandon, complete, turn-in, and persistence	c699217775d90794158422387b07a917e161b582:src/server/game/Quests	unassessed	#56	-	-	-	Complete a normal NPC-to-player-to-NPC quest flow; abandon/reaccept and relog correctly	Full scope has not been inventoried or proven against the reference.
quest-objectives	Quests	Kill, collect, cast/use, interact, explore, escort, and event objectives	c699217775d90794158422387b07a917e161b582:src/server/game/Quests	unassessed	#56	-	-	-	Inventory every objective type and verify legal progress without duplicate or unrelated credit	Full scope has not been inventoried or proven against the reference.
quest-rewards	Quests	Reward choice, items, XP, money, currency, spells, reputation, and mail	c699217775d90794158422387b07a917e161b582:src/server/game/Quests	unassessed	#56	-	-	-	Verify each reward type once, invalid choices, full bags, and replay protection	Full scope has not been inventoried or proven against the reference.
quest-chains	Quests	Prerequisites, exclusive/breadcrumb branches, conditions, and phases	c699217775d90794158422387b07a917e161b582:src/server/game/Quests	unassessed	#56	-	-	-	Traverse complete chains and their alternatives; validate phase/visibility changes and continuity	Full scope has not been inventoried or proven against the reference.
quest-repeatability	Quests	Daily, weekly, repeatable, timed, shared, and group-credit quests	c699217775d90794158422387b07a917e161b582:src/server/game/Quests	unassessed	-	-	-	-	Verify eligibility, expiry/reset, sharing, party credit, and persistence at each boundary	Full scope has not been inventoried or proven against the reference.
quest-content	Quests	All supported zone quest records, scripts, locales, and completion paths	c699217775d90794158422387b07a917e161b582:src/server/game/Quests	unassessed	-	-	-	-	Generate per-quest/chain coverage from pinned world data; classify every record and scripted dependency	Full scope has not been inventoried or proven against the reference.
creature-ai	Creatures and interaction	Spawns, respawns, movement, combat AI, evade, and difficulty	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Verify spawn/lifetime and AI state transitions using correct templates and paths	Full scope has not been inventoried or proven against the reference.
smartai-scripts	Creatures and interaction	SmartAI, script bindings, conditions, event actions, and timers	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Inventory every referenced action/event/condition and compare dispatch and outcomes	Full scope has not been inventoried or proven against the reference.
gameobjects	Creatures and interaction	Doors, chests, traps, destructibles, interactions, and respawn	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Exercise each object type with correct eligibility, state, animation, and persistence	Full scope has not been inventoried or proven against the reference.
gossip-vendors	Creatures and interaction	Gossip, vendors, trainers, costs, stock, and restrictions	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Select legal options, buy/sell/train, and reject illegal access or insufficient costs	Full scope has not been inventoried or proven against the reference.
pets	Creatures and interaction	Taming, pet bars, talents, commands, loyalty/happiness differences, and saves	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Summon/control/save a pet with Cata rules and correct owner/observer state	Full scope has not been inventoried or proven against the reference.
summons	Creatures and interaction	Guardians, totems, temporary summons, minions, and ownership	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Create/control/expire entities and clean up owner state across death/logout	Full scope has not been inventoried or proven against the reference.
vehicles	Creatures and interaction	Boarding, seats, control, spells, accessories, and exit	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Enter/switch/exit seats and restore mover/control safely	Full scope has not been inventoried or proven against the reference.
world-events	Creatures and interaction	Game events, holidays, schedules, weather, and world states	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Activate/deactivate events and verify affected spawns, quests, vendors, and client state	Full scope has not been inventoried or proven against the reference.
chat	Social and economy	Chat, channels, whispers, language, emotes, and restrictions	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Deliver to intended recipients with correct language, permissions, and moderation	Full scope has not been inventoried or proven against the reference.
friends	Social and economy	Friends, ignores, presence, who, and social persistence	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Add/remove and verify visibility/delivery restrictions across sessions	Full scope has not been inventoried or proven against the reference.
groups	Social and economy	Parties, raids, invitations, roles, leaders, ready checks, and loot methods	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Join/change/leave groups; verify recipients, authority, and persistence	Full scope has not been inventoried or proven against the reference.
guilds	Social and economy	Guild membership, ranks, banks, progression, perks, and achievements	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Exercise permissions, transactions, progression, and persistence with multiple accounts	Full scope has not been inventoried or proven against the reference.
calendar	Social and economy	Calendar events, invitations, responses, and reminders	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Create/update/respond with correct visibility, authority, and saved state	Full scope has not been inventoried or proven against the reference.
trade	Social and economy	Trade windows, items, gold, acceptance, cancellation, and race safety	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Complete/cancel trades with no duplication or loss under changed offers	Full scope has not been inventoried or proven against the reference.
mail	Social and economy	Mail, attachments, COD, expiry, return, and persistence	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Send/claim/return with correct costs and exactly-once delivery	Full scope has not been inventoried or proven against the reference.
auction	Social and economy	Auction listings, bids, buyouts, expiry, deposits, and mail delivery	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Exercise lifecycle and simultaneous outcomes without duplicated money/items	Full scope has not been inventoried or proven against the reference.
instances	Instances and PvP	Instance entry, binds, resets, difficulty, lockouts, and checkpoints	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Enter/reenter/reset and restore encounter state with correct party restrictions	Full scope has not been inventoried or proven against the reference.
lfg	Instances and PvP	Dungeon finder, raid finder, queues, roles, proposals, rewards, and rejoin	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Complete queue-to-instance-to-reward flows including decline/timeout/reconnect	Full scope has not been inventoried or proven against the reference.
encounters	Instances and PvP	Every dungeon/raid encounter, scripts, mechanics, loot, and achievements	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Generate per-map/encounter coverage from script registration and pinned content; prove each supported encounter	Full scope has not been inventoried or proven against the reference.
battlegrounds	Instances and PvP	Battleground queues, objectives, teams, scores, rewards, and reconnect	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Play representative matches and inventory every supported battleground rule/data set	Full scope has not been inventoried or proven against the reference.
arenas	Instances and PvP	Arena teams, rated matchmaking, MMR/rating, seasons, and rewards	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Validate match lifecycle and deterministic rating/reward cases	Full scope has not been inventoried or proven against the reference.
pvp-progression	Instances and PvP	Honor/conquest, rated battlegrounds, caps, equipment gates, and resets	c699217775d90794158422387b07a917e161b582:src/server/game	unassessed	-	-	-	-	Compare award/cap/reset rules and persisted balances	Full scope has not been inventoried or proven against the reference.
starting-campaigns	Content and operations	Every starting zone, including Goblin/Worgen phases, vehicles, and scripted quests	c699217775d90794158422387b07a917e161b582:src/server	unassessed	-	-	-	-	Complete each supported starting campaign from creation to normal world access	Full scope has not been inventoried or proven against the reference.
world-content	Content and operations	All supported zones, spawns, paths, objects, quests, vendors, loot, and locales	c699217775d90794158422387b07a917e161b582:src/server	unassessed	-	-	-	-	Generate per-zone/entity coverage from pinned content; require all records mapped and representative live paths	Full scope has not been inventoried or proven against the reference.
data-pipeline	Content and operations	Cata extraction, DBC/DB2 stores, hotfixes, maps/VMAPs/MMAPs, and build identity	c699217775d90794158422387b07a917e161b582:src/server	unassessed	#57	-	-	-	Reproduce manifests/artifacts, reject wrong builds, and validate every loader and dependency	Full scope has not been inventoried or proven against the reference.
database-lifecycle	Content and operations	Fresh installation, migrations, rollback/recovery, and restart persistence	c699217775d90794158422387b07a917e161b582:src/server	partial	#16,#37	#16,#37	-	#16,#37	Build fresh owned schemas and upgrade supported legacy fixtures without loss or duplicate changes	Closed issues prove only their bounded scenarios; remaining scope needs independent evidence.
operations	Content and operations	Configuration, admin commands, permissions, logs, and deployment	c699217775d90794158422387b07a917e161b582:src/server	unassessed	-	-	-	-	Validate supported settings and command permissions; start/stop/recover reproducibly	Full scope has not been inventoried or proven against the reference.
upstream-compatibility	Content and operations	AC interfaces, hooks, security, scripts/modules, tools, and supported builds	c699217775d90794158422387b07a917e161b582:src/server	unassessed	-	-	-	-	Review fork delta and compile required supported targets after upstream merges without architectural transplant	Full scope has not been inventoried or proven against the reference.
hardening	Content and operations	Malformed traffic, authorization, concurrency, long sessions, and recovery	c699217775d90794158422387b07a917e161b582:src/server	unassessed	-	-	-	-	Run negative/soak/restart cases with invariant checks and no data loss or isolation leaks	Full scope has not been inventoried or proven against the reference.
